timestamp,latitude,longitude,elevacao,velocidade
1710000000000,-23.501500,-47.458100,600.00,15.00
1710000001000,-23.501634,-47.458066,600.23,14.39
1710000002000,-23.501754,-47.458244,600.44,14.57
1710000003000,-23.501704,-47.458220,599.27,16.25
1710000004000,-23.501830,-47.458245,598.80,16.28
1710000005000,-23.501648,-47.458231,599.04,14.65
1710000006000,-23.501632,-47.458085,599.26,14.83
1710000007000,-23.501348,-47.458046,599.18,14.72
1710000008000,-23.501364,-47.458182,599.60,15.09
1710000009000,-23.501461,-47.458170,599.81,12.27
1710000010000,-23.501370,-47.458213,600.53,9.41
1710000011000,-23.501304,-47.458227,601.20,12.62
1710000012000,-23.501336,-47.458242,600.57,12.56
1710000013000,-23.501349,-47.458323,599.96,9.56
1710000014000,-23.501465,-47.458224,600.76,10.59
1710000015000,-23.501421,-47.458260,601.23,10.29
1710000016000,-23.501499,-47.458264,601.18,11.48
1710000017000,-23.501581,-47.458265,601.46,12.52
1710000018000,-23.501634,-47.458262,602.02,12.39
1710000019000,-23.501629,-47.458252,602.19,13.46
1710000020000,-23.501709,-47.457981,603.09,13.54
1710000021000,-23.501615,-47.458004,603.28,13.64
1710000022000,-23.501521,-47.457989,602.98,14.03
1710000023000,-23.501584,-47.457958,602.61,13.67
1710000024000,-23.501651,-47.457798,603.28,13.04
1710000025000,-23.501639,-47.457671,603.23,13.21
1710000026000,-23.501724,-47.457838,602.71,13.45
1710000027000,-23.501678,-47.457826,603.06,13.77
1710000028000,-23.501630,-47.457735,603.37,13.79
1710000029000,-23.501646,-47.457783,603.15,16.63
1710000030000,-23.501599,-47.457869,603.24,16.73
1710000031000,-23.501543,-47.457975,603.02,16.23
1710000032000,-23.501338,-47.457920,602.72,17.25
1710000033000,-23.501554,-47.457956,602.30,18.00
1710000034000,-23.501379,-47.457952,602.31,19.48
1710000035000,-23.501274,-47.457968,602.54,18.81
1710000036000,-23.501344,-47.457791,602.32,20.52
1710000037000,-23.501337,-47.457910,603.34,21.14
1710000038000,-23.501221,-47.457749,603.94,19.62
1710000039000,-23.501232,-47.457720,603.22,18.83
1710000040000,-23.501134,-47.457747,602.60,20.94
1710000041000,-23.501040,-47.457792,602.66,20.89
1710000042000,-23.500792,-47.457607,602.30,21.40
1710000043000,-23.500802,-47.457584,602.39,18.91
1710000044000,-23.500873,-47.457656,602.30,20.53
